"","avg.mae","avg.rcor","detail.mae","detail.rcor"
"1",0.721508450817191,0.53645578663268,0.788673744019139,0.5777043122949
"2",0.721508450817191,0.53645578663268,0.720653679911518,0.491249664898127
"3",0.721508450817191,0.53645578663268,0.6654792961202,0.554598558878607
"4",0.721508450817191,0.53645578663268,0.534930214185393,0.436294825955721
"5",0.721508450817191,0.53645578663268,0.746136889198156,0.301521045602629
"6",0.721508450817191,0.53645578663268,0.649873363946516,0.474992308625452
"7",0.721508450817191,0.53645578663268,0.764225546798631,0.47562372872796
"8",0.721508450817191,0.53645578663268,0.647898607877971,0.327770810179723
"9",0.721508450817191,0.53645578663268,0.640693128071537,0.642739112536962
"10",0.721508450817191,0.53645578663268,0.632358106734586,0.554556582859889
"11",0.721508450817191,0.53645578663268,0.733600255835093,0.536811011232816
"12",0.721508450817191,0.53645578663268,0.88754374978084,0.505737604601413
"13",0.721508450817191,0.53645578663268,0.751637119770979,0.523261336518328
"14",0.721508450817191,0.53645578663268,0.860359035805464,0.636595812708138
"15",0.721508450817191,0.53645578663268,0.691473671790723,0.59790214757062
"16",0.721508450817191,0.53645578663268,0.725581431109896,0.477116028451917
"17",0.721508450817191,0.53645578663268,0.715364583333333,0.682253266411681
"18",0.721508450817191,0.53645578663268,0.72246546964298,0.648857087188958
"19",0.721508450817191,0.53645578663268,0.760480074871522,0.519133643739627
"20",0.721508450817191,0.53645578663268,0.562605281132622,0.684617518423883
"21",0.721508450817191,0.53645578663268,0.766852678571429,0.647126796778476
"22",0.721508450817191,0.53645578663268,0.714371802337156,0.415494620676641
"23",0.721508450817191,0.53645578663268,0.863934166323872,0.629268817441905
"24",0.721508450817191,0.53645578663268,0.693494897959184,0.638457577335161
"25",0.721508450817191,0.53645578663268,0.734855729706177,0.566266606469506
"26",0.721508450817191,0.53645578663268,0.581629123683645,0.60658998146593
"27",0.721508450817191,0.53645578663268,0.845795788873882,0.580073986293433
"28",0.721508450817191,0.53645578663268,0.756122254556387,0.413790244566691
"29",0.721508450817191,0.53645578663268,0.719340677751213,0.502892372370151
"30",0.721508450817191,0.53645578663268,0.766823154815678,0.444376188175162
