"","avg.mae","avg.rcor","detail.mae","detail.rcor"
"1",0.366023340290327,0.201782103555983,0.354175121322915,0.131143879036748
"2",0.366023340290327,0.201782103555983,0.399054374775421,0.230498045422156
"3",0.366023340290327,0.201782103555983,0.35875629702537,0.144833124657171
"4",0.366023340290327,0.201782103555983,0.380312604358506,0.1481950596032
"5",0.366023340290327,0.201782103555983,0.334665506028184,0.214683049893006
"6",0.366023340290327,0.201782103555983,0.342264165669867,0.187678877172168
"7",0.366023340290327,0.201782103555983,0.424129893772943,0.17458955591212
"8",0.366023340290327,0.201782103555983,0.336845607808341,0.162258160893697
"9",0.366023340290327,0.201782103555983,0.372126621527618,0.258510778057624
"10",0.366023340290327,0.201782103555983,0.38113655644853,0.224162463217491
"11",0.366023340290327,0.201782103555983,0.443990848891977,0.33823591253723
"12",0.366023340290327,0.201782103555983,0.376346519824781,0.254957895066153
"13",0.366023340290327,0.201782103555983,0.374555437759348,0.127549725909421
"14",0.366023340290327,0.201782103555983,0.321350290692162,0.134703282264081
"15",0.366023340290327,0.201782103555983,0.342617711281975,0.236147760621706
"16",0.366023340290327,0.201782103555983,0.421123000653843,0.130218173842465
"17",0.366023340290327,0.201782103555983,0.373344861575746,0.245798144098714
"18",0.366023340290327,0.201782103555983,0.34858450682347,0.218338214594699
"19",0.366023340290327,0.201782103555983,0.386418440494927,0.164068827788274
"20",0.366023340290327,0.201782103555983,0.326771437858986,0.183580539388104
"21",0.366023340290327,0.201782103555983,0.428706239563716,0.271780370319497
"22",0.366023340290327,0.201782103555983,0.43105313971904,0.281799596296448
"23",0.366023340290327,0.201782103555983,0.286538875459452,0.142754470389882
"24",0.366023340290327,0.201782103555983,0.322759004780857,0.236057496738974
"25",0.366023340290327,0.201782103555983,0.409880661800903,0.263819428268539
"26",0.366023340290327,0.201782103555983,0.378547121626183,0.20557042776933
"27",0.366023340290327,0.201782103555983,0.366206368881954,0.254819105102377
"28",0.366023340290327,0.201782103555983,0.319595943236688,0.20496546592262
"29",0.366023340290327,0.201782103555983,0.317603046455444,0.328624952566462
"30",0.366023340290327,0.201782103555983,0.321240002590658,-0.046879676670857
